run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v2_explored,273,-76.9599,-3.2067,3.2067,0.08635,0.05,0.99
policy_v2_explored,274,-28.101,-1.1709,1.1709,0.0863,0.05,0.99
policy_v2_explored,275,-64.9599,-2.7067,2.7067,0.08625,0.05,0.99
policy_v2_explored,276,-340.1315,-14.1721,14.1721,0.0862,0.05,0.99
policy_v2_explored,277,-440.9599,-18.3733,18.3733,0.08615,0.05,0.99
policy_v2_explored,278,-332.9599,-13.8733,13.8733,0.0861,0.05,0.99
policy_v2_explored,279,-67.9599,-2.8317,2.8317,0.08605,0.05,0.99
policy_v2_explored,280,-37.9599,-1.5817,1.5817,0.086,0.05,0.99
policy_v2_explored,281,-56.9599,-2.3733,2.3733,0.08595,0.05,0.99
policy_v2_explored,282,-37.1315,-1.5471,1.5471,0.0859,0.05,0.99
policy_v2_explored,283,-175.9599,-7.3317,7.3317,0.08585,0.05,0.99
policy_v2_explored,284,-147.8188,-6.1591,6.1591,0.0858,0.05,0.99
policy_v2_explored,285,-46.9599,-1.9567,1.9567,0.08575,0.05,0.99
policy_v2_explored,286,-56.9599,-2.3733,2.3733,0.0857,0.05,0.99
policy_v2_explored,287,-76.9599,-3.2067,3.2067,0.08565,0.05,0.99
policy_v2_explored,288,-46.9599,-1.9567,1.9567,0.0856,0.05,0.99
policy_v2_explored,289,-46.9599,-1.9567,1.9567,0.08555,0.05,0.99
policy_v2_explored,290,-56.9599,-2.3733,2.3733,0.0855,0.05,0.99
policy_v2_explored,291,-623.6462,-25.9853,25.9853,0.08545,0.05,0.99
policy_v2_explored,292,-440.9599,-18.3733,18.3733,0.0854,0.05,0.99
policy_v2_explored,293,-61.6462,-2.5686,2.5686,0.08535,0.05,0.99
policy_v2_explored,294,-145.9599,-6.0817,6.0817,0.0853,0.05,0.99
policy_v2_explored,295,-46.9599,-1.9567,1.9567,0.08525,0.05,0.99
policy_v2_explored,296,-66.9599,-2.79,2.79,0.0852,0.05,0.99
policy_v2_explored,297,-59.9599,-2.4983,2.4983,0.08515,0.05,0.99
policy_v2_explored,298,-55.9599,-2.3317,2.3317,0.0851,0.05,0.99
policy_v2_explored,299,-38.9599,-1.6233,1.6233,0.08505,0.05,0.99
policy_v2_explored,300,-76.9599,-3.2067,3.2067,0.085,0.05,0.99
policy_v2_explored,301,-56.8188,-2.3675,2.3675,0.08495,0.05,0.99
policy_v2_explored,302,-37.9599,-1.5817,1.5817,0.0849,0.05,0.99
policy_v2_explored,303,-56.9599,-2.3733,2.3733,0.08485,0.05,0.99
policy_v2_explored,304,-166.9599,-6.9567,6.9567,0.0848,0.05,0.99
policy_v2_explored,305,-145.1315,-6.0471,6.0471,0.08475,0.05,0.99
policy_v2_explored,306,-37.2726,-1.553,1.553,0.0847,0.05,0.99
